ParticipantId,gender,Experimental_condition,wave,round,position,order,match,int_corr,samerace,age_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,imprace,imprelig,income,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,dec,attr,sinc,intel,fun,amb,shar,like,prob
3,0,1,1,10,9,2,0,0.09,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7,9,9,7,9,7,8,7
3,0,1,1,10,9,7,0,-0.04,1,23,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9,7,9,7,9,7,8,7
3,0,1,1,10,9,9,0,-0.14,0,24,30,10,20,10,10,20,1,6,10,8,6,,,6,1,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9,10,10,10,10,10,9,
3,0,1,1,10,9,8,0,-0.3,1,25,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8,10,10,7,9,9,8,
3,0,1,1,10,9,3,0,-0.26,1,30,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8,9,10,7,7,9,8,7
3,0,1,1,10,9,4,0,0.29,1,27,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,7,9,9,8,9,7,8,7
3,0,1,1,10,9,10,0,-0.15,1,28,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,9,9,9,9,9,9,9,7
3,0,1,1,10,9,1,0,-0.47,1,24,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,2,8,4,,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,0,8,7,9,7,9,7,8,7
4,0,1,1,10,6,3,0,-0.18,1,27,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,4,10,8,5,8,7,6,7
4,0,1,1,10,6,2,0,-0.18,1,22,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,8,7,8,10,7,8,8,1
4,0,1,1,10,6,9,0,0.05,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,4,7,8,8,6,7,4,1
4,0,1,1,10,6,4,1,-0.18,1,23,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,1,8,10,7,10,7,10,8,10
4,0,1,1,10,6,6,0,0.21,0,24,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,6,9,8,9,8,9,7,7
4,0,1,1,10,6,5,0,0.37,1,25,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,5,10,8,4,8,2,4,3
4,0,1,1,10,6,10,0,0.35,1,30,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,7,10,10,7,10,5,5,1
4,0,1,1,10,6,1,0,0.15,1,27,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,0,5,9,9,5,9,7,6,6
4,0,1,1,10,6,7,1,-0.47,1,28,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,1,9,8,10,10,7,8,8,8
4,0,1,1,10,6,8,0,-0.19,1,24,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,1,1,1,37754.00,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,1,8,9,10,10,8,8,10,8
5,0,1,1,10,4,1,0,-0.43,1,27,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,0,5,8,8,2,2,2,7,5
5,0,1,1,10,4,10,0,0,1,22,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,0,8,6,6,5,5,5,6,4
5,0,1,1,10,4,7,0,-0.17,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,0,4,6,8,8,6,5,6,5
5,0,1,1,10,4,2,1,0.08,1,23,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,8,5,5,7,7,9,8,2
5,0,1,1,10,4,4,0,-0.16,0,24,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,0,6,7,7,5,4,8,7,4
5,0,1,1,10,4,3,0,0.06,1,25,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,5,6,7,5,7,8,7,3
5,0,1,1,10,4,8,0,-0.05,1,30,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,6,6,8,5,5,6,6,3
5,0,1,1,10,4,9,0,0.07,1,27,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,5,5,7,6,7,5,6,4
5,0,1,1,10,4,5,1,-0.13,1,28,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,7,5,7,8,7,9,9,4
5,0,1,1,10,4,6,0,-0.06,1,24,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21,1,8,1,86340.00,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,1,9,6,7,9,6,5,10,3
6,0,1,1,10,8,5,0,0.33,0,27,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,6,9,7,6,7,6,6,6
6,0,1,1,10,8,4,0,0.37,0,22,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,6,9,9,6,8,2,7,6
6,0,1,1,10,8,1,0,-0.51,1,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,0,4,7,9,4,3,2,6,2
6,0,1,1,10,8,6,1,0.12,0,23,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,8,6,7,8,2,8,9,4
6,0,1,1,10,8,8,0,0.35,0,24,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,0,5,4,8,8,4,2,4,3
6,0,1,1,10,8,7,0,0.19,0,25,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,0,3,7,6,1,1,1,2,2
6,0,1,1,10,8,2,0,0.47,0,30,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,8,8,8,8,3,4,8,7
6,0,1,1,10,8,3,0,0.03,0,27,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,0,4,8,9,2,8,3,5,5
6,0,1,1,10,8,9,1,0.46,0,28,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,7,6,8,8,6,9,9,6
6,0,1,1,10,8,10,0,0.43,0,24,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23,1,1,1,60304.00,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,1,8,9,9,9,10,7,9,8
7,0,1,1,10,5,2,0,0.19,0,27,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,4,8,8,5,7,4,7,4
7,0,1,1,10,5,1,0,0.21,0,22,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,6,6,8,4,9,4,7,3
7,0,1,1,10,5,8,0,0.52,1,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,3,6,8,7,8,8,7,8
7,0,1,1,10,5,3,1,-0.46,0,23,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,1,7,8,8,7,7,6,8,6
7,0,1,1,10,5,5,0,-0.27,0,24,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,4,7,7,4,8,5,5,6
7,0,1,1,10,5,4,0,0.59,0,25,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,4,8,7,4,5,4,5,5
7,0,1,1,10,5,9,0,0.31,0,30,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,1,7,7,8,7,7,7,8,7
7,0,1,1,10,5,10,0,0.08,0,27,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,0,5,7,8,5,9,5,5,7
7,0,1,1,10,5,6,1,-0.34,0,28,50,0,25,10,0,15,1,9,7,9,9,9,10,9,9,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,1,6,6,8,8,8,6,6,6
7,0,1,1,10,5,7,0,-0.16,0,24,100,0,0,0,0,0,0,7,6,8,6,8,7,7,7,2,22,1,2,4,54620.00,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,1,8,6,7,7,8,6,7,5
8,0,1,1,10,10,7,0,-0.03,1,27,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,5,8,7,4,7,5,4,5
8,0,1,1,10,10,6,1,-0.11,1,22,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,8,7,7,9,6,7,8,7
8,0,1,1,10,10,3,1,0.42,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,5,8,8,6,7,7,5,5
8,0,1,1,10,10,8,1,-0.4,1,23,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,8,6,5,6,6,5,5,6
8,0,1,1,10,10,10,1,-0.23,0,24,30,10,20,10,10,20,1,9,9,8,9,,7,9,7,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,6,8,8,5,6,7,6,5
8,0,1,1,10,10,9,1,0.28,1,25,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,6,8,8,5,6,7,6,5
8,0,1,1,10,10,4,0,0.05,1,30,35,15,25,10,5,10,0,6,4,7,5,6,4,4,4,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,6,7,8,5,7,7,6,6
8,0,1,1,10,10,5,1,0.17,1,27,33.33,11.11,11.11,11.11,11.11,22.22,1,9,8,8,8,7,5,7,5,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,5,6,7,4,5,6,5,4
8,0,1,1,10,10,1,1,-0.47,1,28,50,0,25,10,0,15,1,8,7,8,10,8,10,8,8,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,8,8,5,9,8,9,7,10
8,0,1,1,10,10,2,1,-0.21,1,24,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,25,13,1,1,,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,1,7,6,8,7,9,8,8,7
9,0,1,1,10,1,8,0,0.19,0,27,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,10,9,8,7,6,5,5
9,0,1,1,10,1,7,1,0.03,0,22,60,0,0,40,0,0,1,8,8,10,7,6,5,8,4,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,10,10,10,10,10,10,10,5
9,0,1,1,10,1,4,1,0.68,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,10,10,6,6,6,8,5
9,0,1,1,10,1,9,1,-0.26,0,23,30,5,15,40,5,5,1,7,8,7,8,8,7,7,7,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,10,9,8,8,7,7,7,5
9,0,1,1,10,1,1,1,-0.01,0,24,30,10,20,10,10,20,1,7,9,8,9,7,7,7,8,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5,10,8,8,5,5,5,5
9,0,1,1,10,1,10,1,0.42,0,25,50,0,30,10,0,10,1,6,6,7,8,7,7,6,5,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,9,9,7,6,5,6,5
9,0,1,1,10,1,5,1,0.21,0,30,35,15,25,10,5,10,1,8,6,7,8,6,5,8,4,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,6,8,9,6,6,6,7,5
9,0,1,1,10,1,6,0,0.1,0,27,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,5,7,5,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,6,7,8,7,9,6,7,5
9,0,1,1,10,1,2,1,-0.35,0,28,50,0,25,10,0,15,1,6,6,6,7,6,6,6,6,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8,5,5,6,5,5,7,6
9,0,1,1,10,1,3,0,-0.23,0,24,100,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,26,13,1,1,,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7,8,7,8,7,8,8,5
10,0,1,1,10,2,9,0,0.3,1,27,35,20,20,20,0,5,0,7,8,7,8,6,5,6,3,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,6,10,10,6,6,,6,3
10,0,1,1,10,2,8,0,0.65,1,22,60,0,0,40,0,0,0,1,1,1,1,1,1,1,1,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,1,1,1,1,1,,1,1
10,0,1,1,10,2,5,1,-0.15,0,22,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,1,6,10,10,10,6,,7,6
10,0,1,1,10,2,10,0,0.17,1,23,30,5,15,40,5,5,1,7,8,7,9,8,8,7,7,1,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,10,10,10,10,10,,10,1
10,0,1,1,10,2,2,0,0.24,0,24,30,10,20,10,10,20,1,6,9,9,7,8,,6,6,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,5,7,7,7,7,,6,1
10,0,1,1,10,2,1,0,0.15,1,25,50,0,30,10,0,10,0,,8,7,7,7,7,6,6,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,5,10,6,4,6,,6,1
10,0,1,1,10,2,6,0,0.41,1,30,35,15,25,10,5,10,0,7,7,4,3,4,4,3,6,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,1,5,10,8,6,9,,7,1
10,0,1,1,10,2,7,0,0.07,1,27,33.33,11.11,11.11,11.11,11.11,22.22,0,6,6,6,6,6,5,7,6,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,0,5,6,6,4,5,,5,5
10,0,1,1,10,2,3,1,0.49,1,28,50,0,25,10,0,15,1,7,7,7,7,6,6,7,8,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,1,9,9,9,9,9,9,9,9
10,0,1,1,10,2,4,0,0.08,1,24,100,0,0,0,0,0,0,6,6,6,6,6,6,7,7,2,26,13,4,4,48652.00,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,1,9,9,8,10,8,8,9,10
11,1,1,1,10,7,4,0,0.14,0,21,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,27,8,7,3,,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,6,8,8,8,8,6,7,4
11,1,1,1,10,3,10,0,0.29,1,24,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,27,8,7,3,,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,8,7,6,9,7,4,7,2
